server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,5,21268.7,239.63,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,6,21664.6,235.53,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,7,21502.7,238.71,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,8,21164.5,239.44,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,9,21425.6,239.71,1037,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,10,21741.9,241.08,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,11,21760.1,238.43,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,12,21605.8,241.45,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,13,21347.6,229.64,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,14,21728.2,261.59,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,0,24373.2,241.47,2061,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,1,26146.0,247.16,2059,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,2,27625.1,244.5,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,3,27879.3,266.87,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,4,27589.0,242.98,2062,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,5,27688.2,243.38,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,6,27785.3,244.42,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,7,27834.1,244.46,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,8,27669.6,244.01,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,9,27633.9,236.7,2059,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,10,27665.9,249.2,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,11,27549.8,242.24,2061,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,12,27664.4,264.22,2061,32,,
